G04a_001,G04a_002,G04a_003,G04a_004,G04a_005,G04a_006,G04a_007,G04a_008,G04a_009,G04a_010
65432170,890.3,987.0,828.3,0,8.9,5,3.7,4,6.6
65432171,840.1,897.0,805.5,0,6.4,5,2.5,5,3.9
65432172,823.6,866.0,796.1,0,3.8,5,1.9,4,2.6
65432173,808.3,849.9,759.3,0,3.9,5,2.2,4,3.3
65432174,820.3,886.8,758.1,0,8.5,5,3.4,5,6.0
65432175,849.2,992.5,768.7,0,17.2,6,4.4,5,8.4
65432176,997.5,1123.0,867.8,0,19.6,8,2.8,6,12.0
65432177,1126.7,1321.8,919.5,0,27.0,7,7.1,7,14.6
65432178,1104.3,1353.0,854.0,0,27.8,4,12.6,3,19.2
65432179,892.8,1071.8,751.4,0,23.4,7,4.3,3,16.0
65432180,958.1,1096.8,879.4,0,18.4,4,6.0,5,9.7
65432181,914.7,995.6,853.1,0,8.4,5,3.6,4,6.6
65432182,869.3,951.3,816.8,0,8.8,5,2.9,5,4.8
65432183,885.9,1025.1,822.2,0,16.1,6,3.7,5,7.4
65432184,961.7,1125.6,847.6,0,17.3,5,6.6,5,12.5
65432185,954.1,1125.3,803.8,0,19.2,4,4.0,5,12.5
65432186,979.9,1120.6,841.5,0,19.1,1,2.7,7,10.9
65432187,1071.9,1253.8,914.1,0,19.6,7,2.8,3,13.9
65432188,1116.9,1293.1,924.8,0,20.9,4,5.8,4,14.5
65432189,862.2,1053.5,701.0,0,22.0,4,3.2,8,13.3
65432190,1128.2,1353.4,970.9,0,23.8,4,6.9,4,15.5
65432191,1027.5,1201.3,907.2,0,20.5,5,8.8,4,13.5
65432192,996.7,1172.2,881.0,0,13.7,6,5.2,5,10.2
65432193,1012.8,1226.0,877.0,0,21.9,7,5.2,5,13.6
65432194,1183.1,1340.3,988.3,0,17.9,6,2.9,6,13.8
65432195,1114.6,1309.8,951.0,0,20.6,4,9.7,3,13.5
65432196,985.3,1118.2,872.8,0,15.9,4,2.8,3,8.1
65432197,1049.7,1235.9,926.1,0,19.5,1,4.0,7,11.0
65432198,1024.0,1270.2,807.2,0,27.3,1,8.3,3,17.0
65432199,944.0,1122.1,689.4,0,25.3,4,6.8,4,17.2
65432200,927.3,1079.0,818.3,0,15.6,2,6.0,4,11.3
